Pit,Collector number,Species,Sex,Age,Total length (mm),Tail (mm),Hind foot (mm),Ear (mm),Weight (g),Embryos,Testis weight (mg),SV weight (mg),Fight Wounds,Notes,Person taking Measurements,
L1,MWN 1751,Mus musculus,female,a,134+,52+,18,13,19,0,,,,,MWN,
L1,MWN 1752,Mus musculus,female,a,145+,60+,18,13,22,"2R 2L, 10 mm",,,,,MWN,
L1,MWN 1753,Mus musculus,female,a,155+,67+,17,14,23,"0R 2L, 13 mm",,,,,MWN,
L1,MWN 1754,Mus musculus,female,a,130+,43+,18,13,21,0,,,,,MWN,
L1,MWN 1755,Mus musculus,female,a,150+,60+,17,14,23,0,,,,,MWN,
L1,MWN 1756,Mus musculus,female,a,160+,58+,20,14,30,0,,,,,MWN,
L1,MWN 1757,Mus musculus,female,a,132+,47+,18,13,19,0,,,,,MWN,
L1,MWN 1758,Mus musculus,female,a,151+,65+,18,14,20,"5R 1L, 5 mm",,,,,MWN,
L1,MWN 1759,Mus musculus,female,a,125+,30+,18,13,25,"3R 1L, 13 mm",,,,,MWN,
L1,MWN 1760,Mus musculus,female,a,165+,71+,18,13,23,0,,,,,MWN,
L1,MWN 1761,Mus Musculus,female,a,135+,52+,18,13,29,"5R 3L, 21 mm",,,,,MWN,
L1,MWN 1762,Mus Musculus,female,a,135+,56+,18,12,16,0,,,,,MWN,
L1,MWN 1763,Mus Musculus,female,a,136+,53+,18,12,19,"4R 1L, 6 mm",,,,,MWN,
L1,MWN 1764,Mus Musculus,female,a,155+,65+,18,13,24,"1R 4L, 12 mm",,,,,MWN,
L1,MWN 1765,Mus musculus,female,a,165,82,17,12,17,"0R 5L, 19 mm",,,,,MWN,
L1,MWN 1766,Mus musculus,female,a,170+,77+,17,14,25,0,,,,,MWN,
L1,MWN 1767,Mus musculus,female,a,134+,53+,17,13,19,"0R 1L, 21 mm",,,,,MWN,
L1,MWN 1768,Mus musculus,female,a,138+,47+,18,14,21,"0R 4L, 5 mm",,,,,MWN,
L1,MWN 1769,Mus musculus,female,a,145+,56+,17,13,22,"5R 1L, 5 mm",,,,,MWN,
L1,MWN 1770,Mus musculus,female,a,160+,60+,16,13,23,"5R 0L, 2 mm",,,,,MWN,
L1,MWN 1771,Mus musculus,female,a,155+,67+,18,13,16,0,,,,,MWN,
L1,MWN 1772,Mus musculus,female,a,144+,63+,17,12,16,0,,,,,MWN,
L1,MWN 1773,Mus musculus,female,a,160+,73+,17,13,19,0,,,,,MWN,
L1,MWN 1774,Mus musculus,female,a,122+,49+,16,12,13,0,,,,,MWN,
